	fecha_dato	ncodpers	age	fecha_alta	ind_nuevo	antiguedad	indrel	ult_fec_cli_1t	tipodom	cod_prov	ind_actividad_cliente	renta	ind_ahor_fin_ult1	ind_aval_fin_ult1	ind_cco_fin_ult1	ind_cder_fin_ult1	ind_cno_fin_ult1	ind_ctju_fin_ult1	ind_ctma_fin_ult1	ind_ctop_fin_ult1	ind_ctpp_fin_ult1	ind_deco_fin_ult1	ind_deme_fin_ult1	ind_dela_fin_ult1	ind_ecue_fin_ult1	ind_fond_fin_ult1	ind_hip_fin_ult1	ind_plan_fin_ult1	ind_pres_fin_ult1	ind_reca_fin_ult1	ind_tjcr_fin_ult1	ind_valo_fin_ult1	ind_viv_fin_ult1	ind_nomina_ult1	ind_nom_pens_ult1	ind_recibo_ult1	month_of_transaction	ind_empleado_A	ind_empleado_B	ind_empleado_F	ind_empleado_N	ind_empleado_S	pais_residencia_BO	pais_residencia_DE	pais_residencia_ES	pais_residencia_IT	pais_residencia_PY	sexo_H	sexo_V	indrel_1mes_1.0	indrel_1mes_2.0	indrel_1mes_3.0	indrel_1mes_4.0	indrel_1mes_5.0	tiprel_1mes_A	tiprel_1mes_I	tiprel_1mes_N	tiprel_1mes_P	tiprel_1mes_R	indresi_N	indresi_S	indext_N	indext_S	canal_entrada_004	canal_entrada_007	canal_entrada_013	canal_entrada_025	canal_entrada_K00	canal_entrada_KAA	canal_entrada_KAB	canal_entrada_KAC	canal_entrada_KAD	canal_entrada_KAE	canal_entrada_KAF	canal_entrada_KAG	canal_entrada_KAH	canal_entrada_KAI	canal_entrada_KAJ	canal_entrada_KAK	canal_entrada_KAL	canal_entrada_KAM	canal_entrada_KAN	canal_entrada_KAO	canal_entrada_KAP	canal_entrada_KAQ	canal_entrada_KAR	canal_entrada_KAS	canal_entrada_KAT	canal_entrada_KAU	canal_entrada_KAV	canal_entrada_KAW	canal_entrada_KAY	canal_entrada_KAZ	canal_entrada_KBB	canal_entrada_KBD	canal_entrada_KBE	canal_entrada_KBF	canal_entrada_KBG	canal_entrada_KBH	canal_entrada_KBJ	canal_entrada_KBL	canal_entrada_KBM	canal_entrada_KBN	canal_entrada_KBO	canal_entrada_KBP	canal_entrada_KBQ	canal_entrada_KBR	canal_entrada_KBS	canal_entrada_KBU	canal_entrada_KBV	canal_entrada_KBW	canal_entrada_KBX	canal_entrada_KBY	canal_entrada_KBZ	canal_entrada_KCA	canal_entrada_KCB	canal_entrada_KCC	canal_entrada_KCD	canal_entrada_KCE	canal_entrada_KCF	canal_entrada_KCG	canal_entrada_KCH	canal_entrada_KCI	canal_entrada_KCJ	canal_entrada_KCK	canal_entrada_KCL	canal_entrada_KCM	canal_entrada_KCN	canal_entrada_KCO	canal_entrada_KCP	canal_entrada_KCQ	canal_entrada_KCR	canal_entrada_KCS	canal_entrada_KCT	canal_entrada_KCU	canal_entrada_KCV	canal_entrada_KCX	canal_entrada_KDA	canal_entrada_KDB	canal_entrada_KDC	canal_entrada_KDD	canal_entrada_KDE	canal_entrada_KDF	canal_entrada_KDG	canal_entrada_KDH	canal_entrada_KDI	canal_entrada_KDL	canal_entrada_KDM	canal_entrada_KDN	canal_entrada_KDO	canal_entrada_KDP	canal_entrada_KDQ	canal_entrada_KDR	canal_entrada_KDS	canal_entrada_KDT	canal_entrada_KDU	canal_entrada_KDV	canal_entrada_KDW	canal_entrada_KDX	canal_entrada_KDY	canal_entrada_KDZ	canal_entrada_KEA	canal_entrada_KEB	canal_entrada_KEC	canal_entrada_KED	canal_entrada_KEE	canal_entrada_KEF	canal_entrada_KEG	canal_entrada_KEH	canal_entrada_KEI	canal_entrada_KEJ	canal_entrada_KEK	canal_entrada_KEL	canal_entrada_KEM	canal_entrada_KEN	canal_entrada_KEO	canal_entrada_KEQ	canal_entrada_KES	canal_entrada_KEU	canal_entrada_KEV	canal_entrada_KEW	canal_entrada_KEY	canal_entrada_KEZ	canal_entrada_KFA	canal_entrada_KFB	canal_entrada_KFC	canal_entrada_KFD	canal_entrada_KFE	canal_entrada_KFF	canal_entrada_KFG	canal_entrada_KFH	canal_entrada_KFI	canal_entrada_KFJ	canal_entrada_KFK	canal_entrada_KFL	canal_entrada_KFM	canal_entrada_KFN	canal_entrada_KFP	canal_entrada_KFR	canal_entrada_KFS	canal_entrada_KFT	canal_entrada_KFU	canal_entrada_KFV	canal_entrada_KGC	canal_entrada_KGN	canal_entrada_KGU	canal_entrada_KGV	canal_entrada_KGW	canal_entrada_KGX	canal_entrada_KGY	canal_entrada_KHA	canal_entrada_KHC	canal_entrada_KHD	canal_entrada_KHE	canal_entrada_KHF	canal_entrada_KHK	canal_entrada_KHL	canal_entrada_KHM	canal_entrada_KHN	canal_entrada_KHO	canal_entrada_KHP	canal_entrada_KHQ	canal_entrada_KHR	canal_entrada_KHS	canal_entrada_RED	indfall_N	indfall_S	nomprov_ALAVA	nomprov_ALBACETE	nomprov_ALICANTE	nomprov_ALMERIA	nomprov_ASTURIAS	nomprov_AVILA	nomprov_BADAJOZ	nomprov_BALEARS, ILLES	nomprov_BARCELONA	nomprov_BIZKAIA	nomprov_BURGOS	nomprov_CACERES	nomprov_CADIZ	nomprov_CANTABRIA	nomprov_CASTELLON	nomprov_CEUTA	nomprov_CIUDAD REAL	nomprov_CORDOBA	nomprov_CORUÑA, A	nomprov_CUENCA	nomprov_GIPUZKOA	nomprov_GIRONA	nomprov_GRANADA	nomprov_GUADALAJARA	nomprov_HUELVA	nomprov_HUESCA	nomprov_JAEN	nomprov_LEON	nomprov_LERIDA	nomprov_LUGO	nomprov_MADRID	nomprov_MALAGA	nomprov_MELILLA	nomprov_MURCIA	nomprov_NAVARRA	nomprov_OURENSE	nomprov_PALENCIA	nomprov_PALMAS, LAS	nomprov_PONTEVEDRA	nomprov_RIOJA, LA	nomprov_SALAMANCA	nomprov_SANTA CRUZ DE TENERIFE	nomprov_SEGOVIA	nomprov_SEVILLA	nomprov_SORIA	nomprov_TARRAGONA	nomprov_TERUEL	nomprov_TOLEDO	nomprov_VALENCIA	nomprov_VALLADOLID	nomprov_ZAMORA	nomprov_ZARAGOZA	segmento_01 - TOP	segmento_02 - PARTICULARES	segmento_03 - UNIVERSITARIO
0	2015-01-28	1375586	35	2015-01-12	0.0	      6	1.0	0	1.0	29.0	1.0	87218.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	2015-01-28	1050611	23	2012-08-10	0.0	     35	1.0	0	1.0	13.0	0.0	35548.74	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	2015-01-28	1050612	23	2012-08-10	0.0	     35	1.0	0	1.0	13.0	0.0	122179.11000000002	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3	2015-01-28	1050613	22	2012-08-10	0.0	     35	1.0	0	1.0	50.0	0.0	119775.54	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
4	2015-01-28	1050614	23	2012-08-10	0.0	     35	1.0	0	1.0	50.0	1.0	99950.28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
5	2015-01-28	1050615	23	2012-08-10	0.0	     35	1.0	0	1.0	45.0	0.0	22220.04	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
6	2015-01-28	1050616	23	2012-08-10	0.0	     35	1.0	0	1.0	24.0	0.0	295590.36	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	2015-01-28	1050617	23	2012-08-10	0.0	     35	1.0	0	1.0	50.0	1.0	113316.66	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
8	2015-01-28	1050619	24	2012-08-10	0.0	     35	1.0	0	1.0	20.0	0.0	80599.14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9	2015-01-28	1050620	23	2012-08-10	0.0	     35	1.0	0	1.0	10.0	0.0	113194.98	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
